,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
10,0,0,,0,,0,,FALSE,,,0,0,,83389,3,0,,0,0,1,,0,0
11,4,0,,0,,0,,FALSE,,,4,307,,189642,3,0,,0,3,0,,1,0
12,3,0,,0,,0,,FALSE,,,3,270,,33372,3,0,,0,0,1,,0,0
13,4,0,,0,,0,,FALSE,,,4,256,,7035134,3,0,,0,4,0,,0,0
14,4,0,,0,,2,,FALSE,,,3,226,,82784,3,0,,1,2,1,,0,0
15,4,0,,0,,0,,FALSE,,,0,85,,82999,3,0,,4,0,4,,0,0
16,4,0,,0,,0,,FALSE,,,2,212,,83243,3,0,,2,0,2,,0,0
17,1,0,,0,,0,,FALSE,,,0,15,,84739,3,0,,1,0,3,,0,0
18,4,0,,0,,2,,FALSE,,,4,327,,319,4,0,,0,1,0,,0,0
19,4,0,,0,,2,,FALSE,,,4,340,,23032,4,0,,0,1,0,,1,0
0,2,0,,0,,0,,FALSE,,,2,210,,154847,1,0,,0,0,0,,1,0
1,0,0,,0,,0,,FALSE,,,0,0,,7035136,1,0,,0,0,2,,0,0
2,1,0,,0,,0,,FALSE,,,1,120,,107843,2,0,,0,0,0,,0,0
3,2,0,,0,,0,,FALSE,,,2,210,,6005,2,0,,0,0,0,,0,0
4,2,0,,0,,0,,FALSE,,,2,210,,154089,2,0,,0,0,0,,0,0
5,2,0,,0,,0,,FALSE,,,2,210,,154169,2,0,,0,0,0,,0,0
6,1,0,,0,,0,,FALSE,,,0,14,,154013,2,0,,1,0,2,,0,0
7,2,0,,0,,1,,FALSE,,,2,157,,153804,3,0,,0,1,0,,2,1
8,0,0,,0,,0,,FALSE,,,0,0,,154072,3,0,,0,0,2,,0,0
9,0,0,,0,,0,,FALSE,,,0,0,,153788,3,0,,0,0,2,,0,0
10,2,0,,0,,0,,FALSE,,,2,150,,107773,3,0,,0,1,0,,0,0
11,2,0,,0,,0,,FALSE,,,2,210,,153807,3,0,,0,0,0,,0,0
12,1,0,,0,,0,,FALSE,,,1,76,,30363,3,0,,0,1,0,,1,0
13,2,0,,0,,0,,FALSE,,,0,83,,180264,3,0,,2,0,2,,0,0
14,2,0,,0,,1,,FALSE,,,2,127,,153585,4,0,,0,2,0,,0,0
15,2,0,,0,,1,,FALSE,,,2,164,,185066,4,0,,0,1,0,,0,0
16,2,0,,0,,1,,FALSE,,,2,210,,154182,4,0,,0,0,0,,0,0
17,2,0,,0,,0,,FALSE,,,0,82,,75957,4,0,,2,0,2,,0,0
18,1,0,,0,,0,,FALSE,,,0,46,,7035137,4,0,,1,0,2,,0,0
0,7,0,,0,,0,,FALSE,,,7,660,1,72562,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,13,60694,1,0,,0,0,2,,0,0
2,1,0,,0,,0,,FALSE,,,1,90,23,60663,1,0,,0,0,6,,0,0
3,3,0,,0,,0,,FALSE,,,3,270,2,33864,2,0,,0,0,1,,0,0
4,3,0,,0,,0,,FALSE,,,3,284,4,26159,2,0,,0,1,0,,0,0
5,2,0,,0,,0,,FALSE,,,2,210,5,60665,2,0,,0,0,0,,0,0
6,6,0,,0,,0,,FALSE,,,6,531,6,2158189,2,0,,0,1,1,,1,0
7,5,0,,0,,0,,FALSE,,,5,450,15,180746,2,0,,0,0,0,,1,0
8,2,0,,0,,0,,FALSE,,,1,97,17,48428,2,0,,1,1,1,,0,0
9,8,0,,0,,0,,FALSE,,,8,717,26,23206,2,0,,0,2,0,,1,0
10,6,0,,0,,0,,FALSE,,,5,429,32,60536,2,0,,1,1,2,,0,0
11,8,0,,0,,0,,FALSE,,,8,744,3,60410,3,0,,0,1,0,,2,0
12,6,0,,0,,1,,FALSE,,,5,475,7,7035139,3,0,,1,2,2,,2,0
13,8,0,,0,,0,,FALSE,,,5,541,8,97033,3,0,,3,2,3,,0,0
14,6,0,,0,,0,,FALSE,,,3,326,11,60431,3,0,,3,0,3,,2,0
15,5,0,,0,,0,,FALSE,,,3,313,14,60864,3,0,,2,2,5,,0,0
16,1,0,,0,,0,,FALSE,,,0,9,16,6971366,3,0,,1,0,3,,0,0
17,7,0,,0,,0,,FALSE,,,6,508,18,60303,3,0,,1,3,1,,0,0
18,0,0,,0,,0,,FALSE,,,0,0,27,60705,3,0,,0,0,1,,0,0
19,0,0,,0,,0,,FALSE,,,0,0,28,3179823,3,0,,0,0,1,,0,0
20,4,0,,0,,0,,FALSE,,,1,99,31,60477,3,0,,3,0,7,,0,0
21,2,0,,0,,0,,FALSE,,,2,180,33,60480,3,0,,0,0,1,,1,0
22,1,0,,0,,0,,FALSE,,,0,13,9,29997,4,0,,1,0,2,,0,0
23,6,0,,0,,3,,FALSE,,,6,555,10,72251,4,0,,0,2,2,,0,0
24,2,0,,0,,0,,FALSE,,,1,83,19,7829,4,0,,1,1,2,,0,0
25,6,0,,0,,2,,FALSE,,,5,414,22,184815,4,0,,1,3,1,,0,0
26,1,0,,0,,0,,FALSE,,,0,42,29,23212,4,0,,1,0,2,,0,0
27,2,0,,0,,0,,FALSE,,,0,16,30,215988,4,0,,2,0,4,,1,0
28,3,0,,0,,1,,FALSE,,,2,194,34,23202,4,0,,1,1,3,,0,0
0,8,0,,0,,0,,FALSE,,,8,720,1,96896,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,12,6972050,1,0,,0,0,8,,0,0
2,0,0,,0,,0,,FALSE,,,0,0,2,127931,2,0,,0,0,2,,0,0
3,7,0,,0,,0,,FALSE,,,7,630,4,127745,2,0,,0,0,0,,2,0
4,5,0,,0,,0,,FALSE,,,4,364,6,6973085,2,0,,1,0,4,,1,0
5,8,0,,0,,0,,FALSE,,,8,615,7,127844,2,0,,0,3,0,,3,0
6,4,0,,0,,1,,FALSE,,,4,303,14,127618,2,0,,0,1,0,,1,0
7,7,0,,0,,1,,FALSE,,,7,630,19,127531,2,0,,0,0,0,,1,0
8,1,0,,0,,0,,FALSE,,,0,17,27,6650,2,0,,1,0,6,,1,0
9,8,0,,0,,1,,FALSE,,,8,720,32,6972104,2,0,,0,0,0,,1,0
10,3,0,,0,,0,,FALSE,,,2,233,39,6973086,2,0,,1,1,6,,0,0
11,8,0,,0,,0,,FALSE,,,8,698,5,109027,3,0,,0,1,0,,2,0
12,5,0,,0,,0,,FALSE,,,4,368,8,128342,3,0,,1,0,1,,2,1
13,3,0,,0,,0,,FALSE,,,2,170,13,127981,3,0,,1,1,1,,2,1
14,1,0,,0,,0,,FALSE,,,0,52,16,127673,3,0,,1,0,3,,0,0
15,8,0,,0,,0,,FALSE,,,8,565,18,369,3,0,,0,6,0,,0,0
16,7,0,,0,,0,,FALSE,,,0,170,23,127615,3,0,,7,0,8,,0,0
17,7,0,,0,,6,,FALSE,,,7,615,9,127559,4,0,,0,1,0,,3,0
18,8,0,,0,,3,,FALSE,,,6,519,10,127528,4,0,,2,5,2,,1,0
19,6,0,,0,,0,,FALSE,,,3,254,17,3709,4,0,,3,3,3,,1,0
20,2,0,,0,,0,,FALSE,,,0,18,20,127685,4,0,,2,0,8,,0,0
21,5,0,,0,,1,,FALSE,,,2,199,31,128096,4,0,,3,1,4,,0,0
0,4,0,,0,,0,,FALSE,,,4,360,,190324,1,0,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,,85266,1,0,,0,0,4,,0,0
2,4,0,,0,,0,,FALSE,,,4,360,,150052,2,0,,0,0,0,,1,0
3,4,0,,0,,1,,FALSE,,,4,360,,189367,2,0,,0,0,0,,2,0
4,0,0,,0,,0,,FALSE,,,0,0,,61668,2,0,,0,0,3,,0,0
5,1,0,,0,,0,,FALSE,,,0,3,,190185,2,0,,1,0,4,,0,0
